ROOM_NO,ROOM_BUILDING,ROOM_CODE,ROOM_TYPE,CAPACITY
1,ENG3,117,LECT,620
2,EN100,402,LECT,55
3,ENG1,203/1,LECT,40
4,ENG3,408,LECT,50
5,CE,212,LECT,75
6,ENG3,304,LECT,75
7,ENG3,401,LECT,85
8,ENG3,420,LECT,110
9,ENG3,315,LECT,280
10,ENG1,113,LECT,125
11,CE,209,LECT,20
12,ENG3,417,LECT,35
13,ENG3,305,LECT,80
14,ENG3,322,LECT,90
15,ENG3,324,LECT,90
16,ENG3,301,LECT,80
17,ENG3,309,LECT,90
18,ENG1,305/1,LECT,45
19,ENG3,317,LECT,105
20,ENG3,318,LECT,105
21,ENG3,405,LECT,60
22,ENG3,204,LECT,50
23,CE,313,LECT,30
24,CE,303,LECT,45
25,ENG1,210,LECT,30
26,CELAB,207,LECT,50
27,ENG3,407,LECT,30
28,ENG3,205,LECT,50
29,ENG3,206,LECT,45
30,EN100,201A,LECT,70
31,ENG3,419,LECT,60
32,ENG3,421,LECT,80
33,EN100,504,LECT,80
34,ENG3,409,LECT,235
35,ENG3,415,LECT,130
36,ENG3,319,LECT,100
37,ENG3,418,LECT,80
38,EE,308,LECT,5
39,ENG3,306,LECT,85
40,EE,104,LECT,15
41,ENG4,1307,LECT,20
42,ENG4,1306,LECT,65
43,EE,404,LECT,30
44,HV,203,LECT,90
45,ENG1,305/3,LECT,30
46,ENG4,1204,LECT,55
47,EE,212,LECT,25
48,ENG1,302,LECT,145
49,ENG1,303,LECT,200
50,ENG3,218,LECT,130
51,ENG3,220,LECT,105
52,CHEMT,322,LECT,45
53,ENG3,321,LECT,65
54,ENG3,320,LECT,110
55,EN100,401,LECT,90
56,HANS,206,LECT,65
57,ENG5,218,LECT,10
58,ENG3,402,LECT,10
59,ENG4,907,LECT,45
60,ENG3,406,LECT,35
61,ENG4,4509,LECT,60
62,ENG4,4510,LECT,60
63,ENG4,4613,LECT,10
64,ENG4,4409,LECT,55
65,ENG4,4615,LECT,80
66,ENG5,5401,LECT,100
67,ENG4,4616,LECT,30
68,ENG4,4408,LECT,20
69,ENG4,4407,LECT,45
70,ENG4,41001,LECT,55
71,CHE,CHLA2,LECT,20
72,ENG3,404,LECT,70
73,ENG4,41003,LECT,45
74,ENG3,403,LECT,70
75,ENG4,41501,LECT,55
76,SALAB,203,LECT,50
77,ENV,253,LECT,85
78,ENG3,308,LECT,55
79,ENG1,305/2,LECT,30
80,ENV,455,LECT,35
81,SVBLD,204,LECT,40
82,SVBLD,200,LECT,90
83,SVBLD,301,LECT,45
84,SVBLD,401,LECT,35
85,ENG4,41632,LECT,55
86,ENG4,41627,LECT,35
87,ENG4,41601,LECT,70
88,ENG4,41636,LECT,50
89,ENG3,224,LECT,110
90,ENG3,219,LECT,105
91,ENG1,304,LECT,70
92,EN100,502,LECT,5
93,EN100,503,LECT,20
94,EN100,403,LECT,55
95,NT,303,LECT,30
96,NT,304,LECT,40
97,NT,305,LECT,20
98,NT,302,LECT,25
99,ENG5,M10,LECT,30
100,ENG5,207,LECT,40
101,ENG1,110,LECT,10
102,CHEMT,204,LECT,50
103,CHEMT,328,LECT,90
104,CHEMT,121,LECT,75
