PERIOD_NO,COURSE_DAY,COURSE_STARTTIME,COURSE_ENDTIME
1,FR,09:30,10:00
2,FR,10:00,10:30
3,FR,10:30,11:00
4,FR,11:00,11:30
5,FR,11:30,12:00
6,FR,12:00,12:30
7,TU,18:00,18:30
8,TU,18:30,19:00
9,TU,19:00,19:30
10,TH,18:00,18:30
11,TH,18:30,19:00
12,TH,19:00,19:30
13,TU,13:00,13:30
14,TU,13:30,14:00
15,TU,14:00,14:30
16,TU,14:30,15:00
17,TU,15:00,15:30
18,TU,15:30,16:00
19,TH,13:00,13:30
20,TH,13:30,14:00
21,TH,14:00,14:30
22,TH,14:30,15:00
23,TH,15:00,15:30
24,TH,15:30,16:00
25,WE,13:00,13:30
26,WE,13:30,14:00
27,WE,14:00,14:30
28,WE,14:30,15:00
29,WE,15:00,15:30
30,WE,15:30,16:00
31,MO,11:00,11:30
32,MO,11:30,12:00
33,MO,12:00,12:30
34,FR,09:00,09:30
35,TU,08:00,08:30
36,TU,08:30,09:00
37,TU,09:00,09:30
38,FR,13:00,13:30
39,FR,13:30,14:00
40,FR,14:00,14:30
41,FR,14:30,15:00
42,MO,08:00,08:30
43,MO,08:30,09:00
44,MO,09:00,09:30
45,TU,11:00,11:30
46,TU,11:30,12:00
47,TU,12:00,12:30
48,MO,09:30,10:00
49,MO,10:00,10:30
50,MO,10:30,11:00
51,FR,15:00,15:30
52,FR,15:30,16:00
53,TU,09:30,10:00
54,TU,10:00,10:30
55,TU,10:30,11:00
56,FR,08:00,08:30
57,FR,08:30,09:00
58,FR,12:30,13:00
59,TU,16:00,16:30
60,MO,13:30,14:00
61,MO,14:00,14:30
62,MO,14:30,15:00
63,MO,15:00,15:30
64,MO,15:30,16:00
65,MO,16:00,16:30
66,MO,13:00,13:30
67,FR,16:00,16:30
68,WE,09:00,09:30
69,WE,09:30,10:00
70,WE,10:00,10:30
71,WE,10:30,11:00
72,WE,11:00,11:30
73,WE,11:30,12:00
74,TH,16:00,16:30
75,WE,16:00,16:30
76,WE,16:30,17:00
77,MO,16:30,17:00
78,FR,16:30,17:00
79,TU,16:30,17:00
80,TH,16:30,17:00
81,WE,17:00,17:30
82,WE,17:30,18:00
83,MO,17:00,17:30
84,MO,17:30,18:00
85,TU,17:00,17:30
86,TU,17:30,18:00
87,TH,17:00,17:30
88,TH,17:30,18:00
89,TH,09:30,10:00
90,TH,10:00,10:30
91,TH,10:30,11:00
92,TH,11:00,11:30
93,TH,11:30,12:00
94,TH,12:00,12:30
95,FR,17:00,17:30
96,FR,17:30,18:00
97,FR,18:00,18:30
98,FR,18:30,19:00
99,WE,12:00,12:30
100,TH,09:00,09:30
101,SU,09:00,09:30
102,SU,09:30,10:00
103,SU,10:00,10:30
104,SU,10:30,11:00
105,SU,11:00,11:30
106,SU,11:30,12:00
107,SU,12:00,12:30
108,SU,12:30,13:00
109,SU,13:00,13:30
110,SU,13:30,14:00
111,SU,14:00,14:30
112,SU,14:30,15:00
113,SU,15:00,15:30
114,SU,15:30,16:00
115,SA,09:00,09:30
116,SA,09:30,10:00
117,SA,10:00,10:30
118,SA,10:30,11:00
119,SA,11:00,11:30
120,SA,11:30,12:00
121,SA,12:00,12:30
122,SA,12:30,13:00
123,SA,13:00,13:30
124,SA,13:30,14:00
125,SA,14:00,14:30
126,SA,14:30,15:00
127,SA,15:00,15:30
128,SA,15:30,16:00
129,SU,17:00,17:30
130,SU,17:30,18:00
131,SU,18:00,18:30
132,SU,18:30,19:00
133,SU,19:00,19:30
134,SU,19:30,20:00
135,SA,08:00,08:30
136,SA,08:30,09:00
137,SA,17:00,17:30
138,SA,17:30,18:00
139,SA,18:00,18:30
140,SA,18:30,19:00
141,SA,19:00,19:30
142,SA,19:30,20:00
143,TH,08:00,08:30
144,TH,08:30,09:00
145,MO,12:30,13:00
146,WE,12:30,13:00
147,TH,12:30,13:00
148,WE,08:00,08:30
149,WE,08:30,09:00
150,WE,18:00,18:30
151,WE,18:30,19:00
152,MO,18:00,18:30
153,MO,18:30,19:00
154,MO,19:00,19:30
155,MO,19:30,20:00
156,TU,19:30,20:00
157,TU,12:30,13:00
